Model_Name,Location,Car_Age,Mileage,Engine,Horsepower,Price,Price_per_HP
Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,8,17.9,2143.0,170.0,45.0,0.2647058823529412
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,8,13.0,2987.0,265.0,69.5,0.2622641509433962
Audi Q7 45 TDI Quattro Technology,Coimbatore,8,14.75,2967.0,245.0,62.67,0.25579591836734694
Mercedes-Benz GLE 350d,Mumbai,8,11.57,2987.0,254.79,64.95,0.2549158130224891
Mercedes-Benz GLC 220,Coimbatore,8,17.9,2143.0,170.0,43.3,0.25470588235294117
Mercedes-Benz GLE 350d,Coimbatore,8,11.57,2987.0,254.79,64.87,0.2546018289571805
BMW X5 xDrive 30d M Sport,Chennai,8,15.97,2993.0,258.0,65.0,0.25193798449612403
Audi Q5 30 TDI quattro Premium,Coimbatore,8,14.16,1968.0,174.3,43.74,0.25094664371772807
Mercedes-Benz GLA Class 200 CDI SPORT,Bangalore,8,17.9,2143.0,136.0,34.0,0.25
BMW 5 Series 520d Sport Line,Kochi,6,22.48,1995.0,187.74,45.86,0.2442739959518483
Land Rover Range Rover HSE Dynamic,Coimbatore,8,12.7,2179.0,187.7,45.64,0.24315396909962708
BMW 5 Series 2013-2017 520d M Sport,Pune,7,18.12,1995.0,190.0,46.0,0.24210526315789474
Mercedes-Benz GLC 220d Celebration Edition,Kochi,8,17.9,2143.0,168.0,40.47,0.24089285714285713
Mercedes-Benz GLE 350d,Coimbatore,8,11.57,2987.0,254.79,61.29,0.24055104203461675
Land Rover Range Rover HSE Dynamic,Kochi,7,12.7,2179.0,187.7,44.83,0.23883857218966437
Land Rover Range Rover HSE Dynamic,Kochi,7,12.7,2179.0,187.7,44.76,0.23846563665423548
Land Rover Discovery Sport TD4 S,Delhi,8,12.83,2179.0,147.5,35.0,0.23728813559322035
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,19.27,2143.0,167.62,39.62,0.23636797518195918
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,19.27,2143.0,167.62,39.51,0.23571172891063116
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,19.27,2143.0,167.62,39.47,0.23547309390287555
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,19.27,2143.0,167.62,39.45,0.23535377639899774
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,19.27,2143.0,167.62,39.41,0.23511514139124207
Land Rover Range Rover HSE Dynamic,Delhi,8,12.7,2179.0,187.7,44.0,0.23441662226957913
Mercedes-Benz GLE 350d,Coimbatore,7,11.57,2987.0,254.79,59.65,0.2341143686957887
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,19.27,2143.0,167.62,39.22,0.2339816251044028
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,19.27,2143.0,167.62,39.05,0.23296742632144132
Mercedes-Benz GLE 350d,Coimbatore,7,11.57,2987.0,254.79,59.29,0.2327014404018996
Mercedes-Benz SLC 43 AMG,Coimbatore,6,19.0,2996.0,362.07,83.96,0.23188886126992017
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Bangalore,8,19.27,2143.0,167.62,38.5,0.22968619496480133
Audi A4 35 TDI Technology,Hyderabad,8,18.25,1968.0,187.74,43.0,0.22904016192606796
BMW 5 Series 520d Sport Line,Delhi,8,22.48,1995.0,187.74,42.75,0.2277085330776606
Audi A6 2011-2015 35 TDI Premium,Coimbatore,7,17.68,1968.0,174.33,39.58,0.2270406699936901
Mercedes-Benz CLA 200 CDI Sport,Kochi,6,17.9,2143.0,136.0,30.77,0.22625
Jaguar XE 2.0L Diesel Prestige,Delhi,7,13.6,1999.0,177.0,40.0,0.22598870056497175
Mercedes-Benz New C-Class C 220 CDI Style,Hyderabad,8,19.27,2143.0,167.62,37.5,0.2237203197709104
Mercedes-Benz New C-Class C220 CDI Executive Edition,Kochi,6,15.8,2148.0,170.0,37.99,0.22347058823529414
Mercedes-Benz CLA 200 CDI Sport,Kochi,6,17.9,2143.0,136.0,30.3,0.22279411764705884
Mercedes-Benz S Class 2005 2013 S 350 CDI,Coimbatore,8,13.5,2987.0,282.0,62.81,0.22273049645390072
Audi Q3 30 TDI Premium FWD,Coimbatore,7,18.51,1968.0,147.51,32.73,0.22188326215171852
Audi A6 35 TFSI Matrix,Delhi,7,15.26,1798.0,187.74,41.5,0.22105038883562372
BMW 6 Series Gran Coupe,Kochi,7,17.54,2993.0,313.0,68.94,0.22025559105431308
Mini Cooper S Carbon Edition,Kolkata,7,13.6,1598.0,181.0,39.75,0.21961325966850828
Mercedes-Benz GLS 350d 4MATIC,Pune,8,11.0,2987.0,258.0,56.0,0.21705426356589147
Audi A6 2011-2015 35 TDI Technology,Coimbatore,8,17.68,1968.0,174.33,37.56,0.2154534503527792
Mercedes-Benz New C-Class Progressive C 200,Kochi,6,0.0,1950.0,181.43,38.99,0.21490381965496336
Mercedes-Benz New C-Class C 220 CDI Style,Hyderabad,8,19.27,2143.0,167.62,36.0,0.21477150698007397
Jaguar XE 2.0L Diesel Prestige,Hyderabad,8,13.6,1999.0,177.0,38.0,0.21468926553672316
BMW X5 xDrive 30d M Sport,Chennai,8,15.97,2993.0,258.0,55.0,0.2131782945736434
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,8,18.12,1995.0,190.0,40.5,0.2131578947368421
Mercedes-Benz GLA Class 200 d Sport,Mumbai,7,17.9,2143.0,136.0,28.9,0.2125
Audi A6 35 TDI Matrix,Coimbatore,8,18.53,1968.0,187.74,39.84,0.2122083732821988
Ford Endeavour 2.2 Titanium AT 4X2,Chennai,6,12.62,2198.0,158.0,32.9,0.20822784810126582
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,8,17.9,2143.0,136.0,28.25,0.20772058823529413
Audi A6 2011-2015 35 TDI Technology,Coimbatore,8,17.68,1968.0,174.33,35.92,0.2060460047037228
Mini Countryman Cooper D,Jaipur,8,16.6,1998.0,112.0,23.0,0.20535714285714285
Toyota Fortuner 2.8 2WD MT,Coimbatore,6,14.24,2755.0,174.5,35.82,0.20527220630372492
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,8,17.9,2143.0,136.0,27.87,0.2049264705882353
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,8,14.84,2143.0,170.0,34.78,0.20458823529411765
Mercedes-Benz C-Class Progressive C 220d,Mumbai,7,0.0,1950.0,194.0,39.5,0.2036082474226804
Toyota Camry 2.5 Hybrid,Pune,7,19.16,2494.0,157.7,32.0,0.20291693088142043
Ford Endeavour 2.2 Titanium AT 4X2,Hyderabad,7,12.62,2198.0,158.0,31.99,0.20246835443037975
Toyota Camry Hybrid,Pune,7,19.16,2494.0,158.2,32.0,0.20227560050568902
Mercedes-Benz CLA 200 CDI Style,Coimbatore,8,17.9,2143.0,136.0,27.43,0.20169117647058823
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,8,19.27,2143.0,167.62,33.66,0.20081135902636915
BMW 3 Series Luxury Line,Kochi,7,21.76,1995.0,190.0,37.92,0.19957894736842105
Mercedes-Benz CLA 200 CDI Sport,Jaipur,8,17.9,2143.0,136.0,27.0,0.19852941176470587
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Coimbatore,8,19.27,2143.0,170.0,33.64,0.19788235294117648
Ford Endeavour 2.2 Trend AT 4X2,Kochi,6,12.62,2198.0,158.0,31.15,0.1971518987341772
BMW 5 Series 520d Luxury Line,Kochi,7,22.48,1995.0,190.0,37.3,0.1963157894736842
Mercedes-Benz E-Class Facelift,Coimbatore,7,13.0,2987.0,258.0,50.29,0.19492248062015505
Mercedes-Benz B Class B200 CDI,Coimbatore,8,15.0,2143.0,107.3,20.87,0.19450139794967383
Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,7,11.5,2996.0,367.0,70.99,0.193433242506812
BMW X1 sDrive 20d xLine,Coimbatore,6,20.68,1995.0,190.0,36.64,0.1928421052631579
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Mumbai,8,19.71,2143.0,201.15,38.5,0.19139945314441958
BMW Z4 2009-2013 Roadster 2.5i,Kochi,7,10.37,2979.0,306.0,58.54,0.19130718954248366
Toyota Fortuner 4x4 MT,Hyderabad,7,12.55,2982.0,168.5,32.1,0.1905044510385757
Mini Cooper Convertible S,Kochi,8,16.82,1998.0,189.08,35.98,0.19028982441294687
Toyota Fortuner 4x4 AT,Delhi,8,12.55,2982.0,168.5,32.0,0.18991097922848665
Toyota Fortuner 2.8 2WD AT,Kochi,6,12.9,2755.0,174.5,33.13,0.1898567335243553
Mercedes-Benz CLA 200 CDI Sport,Kochi,6,17.9,2143.0,136.0,25.75,0.18933823529411764
Toyota Corolla Altis D-4D GL,Mumbai,8,21.43,1364.0,87.2,16.5,0.18922018348623854
Mercedes-Benz B Class B200 CDI,Coimbatore,8,15.0,2143.0,107.3,20.28,0.18900279589934763
Audi Q5 3.0 TDI Quattro,Coimbatore,7,13.22,2967.0,241.4,45.62,0.18898094449047223
Audi A4 35 TDI Technology Edition,Kochi,6,17.11,1968.0,174.33,32.91,0.18877990018929613
Mini Cooper Convertible S,Kochi,8,16.82,1998.0,189.08,35.67,0.18865030674846625
BMW 3 Series Luxury Line,Coimbatore,8,21.76,1995.0,190.0,35.84,0.18863157894736843
Audi Q5 3.0 TDI Quattro Technology,Coimbatore,7,13.22,2967.0,241.4,45.52,0.18856669428334716
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,8,19.71,2143.0,201.15,37.93,0.1885657469550087
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,8,14.69,2993.0,258.0,48.63,0.18848837209302327
Toyota Fortuner 4x4 AT,Kochi,7,12.55,2982.0,168.5,31.62,0.18765578635014837
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Coimbatore,8,15.0,2143.0,204.0,38.15,0.18700980392156863
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Coimbatore,7,15.0,2143.0,204.0,37.98,0.18617647058823528
BMW 3 Series Luxury Line,Bangalore,8,21.76,1995.0,190.0,35.0,0.18421052631578946
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,6,0.0,1950.0,194.0,35.67,0.1838659793814433
Mercedes-Benz GLA Class 200 CDI SPORT,Pune,8,17.9,2143.0,136.0,25.0,0.18382352941176472
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,8,15.73,1968.0,174.33,31.93,0.18315837778925026
Audi Q3 30 TDI Premium FWD,Mumbai,8,18.51,1968.0,147.51,27.0,0.18303843807199513
Mini Clubman Cooper S,Pune,8,13.8,1998.0,192.0,35.0,0.18229166666666666
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Bangalore,8,15.0,2143.0,204.0,37.0,0.18137254901960784
Mercedes-Benz C-Class Progressive C 220d,Ahmedabad,6,0.0,1950.0,194.0,35.0,0.18041237113402062
Ford Endeavour 3.2 Titanium AT 4X4,Chennai,6,10.91,3198.0,197.0,35.5,0.1802030456852792
BMW 3 Series 320d GT Luxury Line,Mumbai,8,19.59,1995.0,187.74,33.75,0.1797698945349952
Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,8,14.84,2143.0,170.0,30.5,0.17941176470588235
Toyota Fortuner 2.8 2WD AT,Pune,8,12.9,2755.0,174.5,31.0,0.17765042979942694
BMW X3 xDrive30d M Sport,Coimbatore,8,16.55,2993.0,258.0,45.77,0.1774031007751938
BMW 3 Series 320d M Sport,Kochi,8,22.69,1995.0,190.0,33.66,0.1771578947368421
Toyota Fortuner 2.8 2WD AT,Coimbatore,6,12.9,2755.0,174.5,30.85,0.17679083094555875
Volkswagen Tiguan 2.0 TDI Highline,Jaipur,8,17.06,1968.0,141.0,24.9,0.17659574468085104
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,8,13.0,2143.0,204.0,36.0,0.17647058823529413
Ford Endeavour Titanium 4X2,Coimbatore,6,12.62,2198.0,158.0,27.36,0.17316455696202532
Mercedes-Benz GLA Class 200 d Sport,Pune,8,17.9,2143.0,136.0,23.5,0.17279411764705882
BMW X3 xDrive20d xLine,Kochi,8,18.56,1995.0,190.0,32.78,0.1725263157894737
Toyota Fortuner 2.8 2WD AT,Delhi,8,12.9,2755.0,174.5,30.0,0.17191977077363896
Toyota Fortuner 2.8 2WD AT,Ahmedabad,8,12.9,2755.0,174.5,30.0,0.17191977077363896
BMW X3 xDrive20d xLine,Kochi,8,18.56,1995.0,190.0,32.64,0.17178947368421052
BMW X3 xDrive 20d xLine,Kochi,8,18.56,1995.0,190.0,32.57,0.17142105263157895
Ford Endeavour 3.2 Titanium AT 4X4,Delhi,7,10.91,3198.0,197.0,33.5,0.1700507614213198
Toyota Fortuner 4x4 MT,Coimbatore,8,12.55,2982.0,168.5,28.42,0.1686646884272997
Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,7,10.91,3198.0,197.0,33.0,0.16751269035532995
Toyota Fortuner 2.8 2WD MT,Coimbatore,8,14.24,2755.0,174.5,28.85,0.16532951289398282
Ford Endeavour 3.2 Trend AT 4X4,Kochi,7,10.91,3198.0,197.2,32.44,0.16450304259634888
Land Rover Discovery HSE Luxury 3.0 TD6,Mumbai,8,18.0,2993.0,255.0,41.6,0.1631372549019608
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,7,13.5,2477.0,175.56,28.0,0.1594896331738437
BMW X1 M Sport sDrive 20d,Kochi,8,17.05,1995.0,190.0,30.29,0.15942105263157894
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,8,13.0,2143.0,204.0,32.25,0.15808823529411764
Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,8,10.91,3198.0,197.2,31.12,0.15780933062880326
Ford Endeavour 3.2 Titanium AT 4X4,Chennai,8,10.91,3198.0,197.0,31.0,0.15736040609137056
Audi A3 35 TDI Technology,Delhi,8,20.38,1968.0,143.0,22.5,0.15734265734265734
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,8,15.0,2143.0,204.0,31.94,0.1565686274509804
BMW X1 sDrive 20d xLine,Coimbatore,8,20.68,1995.0,190.0,29.4,0.15473684210526314
Ford Endeavour 3.2 Titanium AT 4X4,Delhi,8,10.91,3198.0,197.0,30.48,0.1547208121827411
BMW 3 Series 320d Luxury Line,Kochi,8,18.88,1995.0,184.0,28.45,0.1546195652173913
Mitsubishi Pajero Sport 4X4 AT,Coimbatore,6,13.5,2477.0,175.56,27.11,0.1544201412622465
BMW X1 xDrive 20d xLine,Kochi,7,20.68,1995.0,190.0,29.3,0.15421052631578946
Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,8,10.91,3198.0,197.0,30.35,0.15406091370558375
Skoda Superb L&K 1.8 TSI AT,Kochi,6,14.67,1798.0,177.46,27.3,0.1538374845035501
Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,7,10.91,3198.0,197.2,30.27,0.15349898580121704
BMW X1 xDrive 20d M Sport,Kolkata,8,20.68,1995.0,190.0,29.0,0.15263157894736842
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,6,13.68,2393.0,147.8,22.55,0.15257104194857915
Audi Q5 3.0 TDI Quattro Technology,Coimbatore,8,13.22,2967.0,241.4,36.83,0.15256835128417562
BMW 3 Series 320d Sport Line,Pune,7,18.88,1995.0,184.0,28.0,0.15217391304347827
BMW X1 xDrive 20d xLine,Delhi,8,20.68,1995.0,190.0,28.75,0.1513157894736842
Ford Endeavour 2.2 Trend MT 4X4,Kochi,8,13.5,2198.0,157.7,23.86,0.1512999365884591
Mitsubishi Pajero Sport 4X4 AT,Bangalore,7,13.5,2477.0,175.56,26.5,0.1509455456823878
Toyota Innova Crysta 2.4 VX MT,Coimbatore,6,13.68,2393.0,147.8,22.2,0.15020297699594046
Mercedes-Benz SLC 43 AMG,Kolkata,8,19.0,2996.0,362.07,54.0,0.14914243102162567
Toyota Fortuner 4x4 AT,Coimbatore,8,12.55,2982.0,168.5,25.12,0.14908011869436202
Toyota Camry Hybrid 2.5,Coimbatore,8,19.16,2487.0,175.67,26.11,0.14863095576934024
Mercedes-Benz CLA 200 Sport Edition,Kochi,8,15.04,1991.0,183.0,27.15,0.1483606557377049
Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,8,10.91,3198.0,197.0,29.2,0.1482233502538071
Skoda Superb L&K 2.0 TDI AT,Mumbai,8,18.19,1968.0,174.5,25.75,0.14756446991404013
Audi Q3 35 TDI Quattro Premium,Kochi,8,15.73,1968.0,174.33,25.71,0.14747891929099982
Audi A4 30 TFSI Premium Plus,Kochi,8,17.84,1395.0,147.51,21.73,0.14731204664090572
Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,8,10.91,3198.0,197.0,28.88,0.1465989847715736
Skoda Superb Style 1.8 TSI AT,Hyderabad,8,14.67,1798.0,177.46,26.0,0.14651189000338102
Mercedes-Benz GLA Class 200 Sport,Kochi,7,13.7,1991.0,183.0,26.76,0.14622950819672131
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,6,13.68,2393.0,147.8,21.42,0.14492557510148849
Toyota Corolla Altis VL AT,Bangalore,7,14.28,1798.0,138.03,20.0,0.1448960370933855
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,6,11.36,2755.0,171.5,24.82,0.14472303206997084
Mahindra Thar DI 4X4,Kochi,6,18.06,2523.0,63.0,9.11,0.1446031746031746
Toyota Innova 2.5 GX (Diesel) 7 Seater,Coimbatore,8,12.99,2494.0,100.6,14.52,0.14433399602385685
Ford Mustang V8,Kochi,7,13.0,4951.0,395.0,56.8,0.14379746835443039
Jeep Compass 2.0 Limited 4X4,Coimbatore,6,16.3,1956.0,170.0,23.91,0.1406470588235294
Toyota Innova 2.5 G4 Diesel 8-seater,Kochi,8,12.8,2494.0,102.0,14.29,0.14009803921568625
Jaguar XE Portfolio,Mumbai,8,13.5,1999.0,246.74,34.5,0.13982329577693117
Volkswagen Jetta 2012-2014 1.4 TSI,Coimbatore,7,14.69,1390.0,120.33,16.8,0.13961605584642234
Toyota Innova Crysta 2.4 VX MT,Hyderabad,8,13.68,2393.0,147.8,20.4,0.13802435723951284
Toyota Innova Crysta 2.4 VX MT,Kochi,7,13.68,2393.0,147.8,19.92,0.1347767253044655
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,8,11.36,2755.0,171.5,22.99,0.13405247813411078
Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,8,12.99,2494.0,100.6,13.48,0.13399602385685885
Mercedes-Benz GLA Class 200 CDI SPORT,Kochi,8,17.9,2143.0,136.0,18.06,0.1327941176470588
Skoda Superb Style 2.0 TDI AT,Mumbai,8,18.19,1968.0,174.5,22.99,0.13174785100286532
Mahindra Bolero ZLX,Coimbatore,8,15.96,2523.0,62.1,8.14,0.13107890499194846
Mahindra Thar DI 4X4,Mumbai,7,18.06,2523.0,63.0,8.25,0.13095238095238096
Honda City i-DTEC ZX,Hyderabad,8,25.6,1498.0,98.6,12.9,0.1308316430020284
Toyota Corolla Altis 1.8 VL CVT,Delhi,8,14.28,1798.0,138.03,18.0,0.13040643338404695
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,7,24.3,1248.0,88.5,11.5,0.12994350282485875
Renault Captur 1.5 Diesel Platine Mono,Kochi,6,20.37,1461.0,108.45,14.01,0.12918395573997232
Hyundai Creta 1.6 SX Option Diesel,Coimbatore,6,20.5,1582.0,126.2,16.27,0.12892234548335973
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,8,24.3,1248.0,88.5,11.39,0.12870056497175142
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,8,24.3,1248.0,88.5,11.31,0.12779661016949154
Jeep Compass 2.0 Limited 4X4,Coimbatore,7,16.3,1956.0,170.0,21.69,0.12758823529411764
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,7,24.3,1248.0,88.5,11.25,0.1271186440677966
Toyota Innova Crysta 2.4 ZX MT,Bangalore,8,13.68,2393.0,147.8,18.75,0.12686062246278754
Toyota Corolla Altis 1.8 VL CVT,Kochi,7,14.28,1798.0,138.03,17.49,0.1267115844381656
Toyota Innova Crysta 2.4 ZX MT,Pune,8,13.68,2393.0,147.8,18.65,0.12618403247631932
Toyota Innova Crysta 2.4 ZX MT,Pune,8,13.68,2393.0,147.8,18.6,0.12584573748308525
Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,Kochi,8,12.8,2494.0,102.0,12.83,0.1257843137254902
Renault Captur 1.5 Diesel Platine Mono,Mumbai,7,20.37,1461.0,108.45,13.5,0.12448132780082988
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,7,13.68,2393.0,147.8,18.39,0.12442489851150203
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,7,24.3,1248.0,88.5,11.0,0.12429378531073447
Maruti Dzire AMT ZDI Plus,Hyderabad,8,28.4,1248.0,73.75,9.15,0.12406779661016949
Hyundai Elantra CRDi SX,Coimbatore,6,22.7,1582.0,126.2,15.57,0.1233755942947702
Renault Captur 1.5 Diesel RXL,Coimbatore,6,20.37,1461.0,108.45,13.37,0.12328261871830336
Toyota Corolla Altis 1.8 VL CVT,Kolkata,7,14.28,1798.0,138.03,16.95,0.1227993914366442
Maruti Dzire AMT ZDI Plus,Pune,8,28.4,1248.0,73.75,9.0,0.12203389830508475
Hyundai Creta 1.4 E Plus Diesel,Kochi,7,21.38,1396.0,88.7,10.82,0.12198421645997745
Honda City i-DTEC ZX,Pune,8,25.6,1498.0,98.6,12.0,0.12170385395537527
Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,7,13.0,1591.0,121.3,14.76,0.12168178070898598
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,8,13.68,2393.0,147.8,17.92,0.1212449255751015
Honda City i-VTEC CVT ZX,Coimbatore,7,18.0,1497.0,117.3,14.21,0.12114236999147486
Maruti Dzire AMT ZDI Plus,Chennai,8,28.4,1248.0,73.75,8.9,0.12067796610169491
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,7,16.38,1995.0,183.0,21.99,0.1201639344262295
ISUZU D-MAX V-Cross 4X4,Coimbatore,7,12.4,2499.0,134.0,16.09,0.12007462686567164
Mahindra XUV500 AT W10 AWD,Coimbatore,7,16.0,2179.0,140.0,16.77,0.11978571428571429
Toyota Innova Crysta 2.8 ZX AT,Bangalore,8,11.36,2755.0,171.5,20.5,0.119533527696793
Toyota Innova Crysta 2.4 VX MT,Mumbai,8,13.68,2393.0,147.8,17.65,0.11941813261163733
Maruti Baleno Alpha Automatic,Coimbatore,7,21.4,1197.0,83.1,9.89,0.1190132370637786
Honda City i DTec VX,Coimbatore,7,26.0,1498.0,98.6,11.73,0.11896551724137933
Hyundai Elantra CRDi SX,Ahmedabad,7,22.7,1582.0,126.2,15.0,0.11885895404120443
Maruti Vitara Brezza ZDi Plus,Kochi,6,24.3,1248.0,88.5,10.49,0.11853107344632768
Mahindra XUV500 W8 2WD,Coimbatore,7,16.0,2179.0,140.0,16.59,0.1185
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,8,13.68,2393.0,147.8,17.5,0.11840324763193504
Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,7,13.0,1591.0,121.3,14.36,0.11838417147568013
Hyundai Creta 1.4 E Plus Diesel,Mumbai,7,22.1,1396.0,88.7,10.5,0.11837655016910935
Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,7,13.0,1591.0,121.3,14.35,0.11830173124484748
Mahindra Scorpio S10 7 Seater,Kochi,7,15.4,2179.0,120.0,14.19,0.11825
Honda CR-V 2.0 AT,Kochi,8,13.1,1997.0,141.1,16.68,0.11821403260099221
Maruti Vitara Brezza ZDi,Coimbatore,7,24.3,1248.0,88.5,10.46,0.11819209039548023
